question,response1,response2,response3,correct,audio
What did the group of friends do after getting sunburned at the beach?,They stayed on the beach and played beach volleyball.,They took a taxi back to Chiba and had dinner at a restaurant.,They packed up their belongings and went home.,They packed up their belongings and went home.,James-IdealDay.txt
What was Keith's occupation while living in Finland?,Farmer,Kindergarten teacher,Tour guide,Kindergarten teacher,Keith-Finland.txt
What is the worst thing about taking the train according to Yoko?,It is too crowded in Japan.,She can't read a book because it makes her sick.,She has to pay for the train fare.,It is too crowded in Japan.,Yoko-Commute.txt
Which type of camera does Theodore believe is the way forward in the future for his photo-journalism work?,Film cameras,Digital cameras,Both film and digital cameras are equally viable for photo-journalism,Digital cameras,Theo-Photography.txt
"In the conversation, Theodore talks about his preference for digital cameras in the field of photo-journalism. Which statement supports his view?","""Film cameras are superior to digital cameras in terms of quality.""","""Digital cameras are becoming more expensive compared to film cameras.""","""Digital cameras provide speed and meet the requirements of photo-journalism.""","""Digital cameras provide speed and meet the requirements of photo-journalism.""",Theo-Photography.txt
What did Marion do to alleviate her sore throat?,Took cold syrup,Boiled coca-cola with ginger and drank it,Used a wild formula recommended by her private student,Took cold syrup,Marion-Sick.txt
What were the usual things found in the kitchen of Nicola's last house in Australia?,"Paintings, fridge, oven, and kitchen utensils","Paintings, couches, and a rug","Bean bag, shower, and a basin","Paintings, fridge, oven, and kitchen utensils",Nicola-House.txt
Which type of dancing does Norm enjoy?,Ballroom dancing,Ordinary dancing,Special dancing,Ordinary dancing,Norm-Likes.txt
What is the main reason Tara bought a new guitar?,She wants to join a band and pursue a music career.,She wants to learn how to play Coldplay and Turn Break songs.,She wants to have something to do during the daytime.,She wants to have something to do during the daytime.,Tara-Hobby.txt
What was unique about Kerys' high school experience in a run-down area?,The school had a high dropout rate.,Girls typically got pregnant at a young age.,The school had a reputation for violence.,Girls typically got pregnant at a young age.,Kerys-HighSchool.txt
What are some common ingredients used to make tacos according to Anna's recipe?,Ground beef and ground turkey,Chopped onion and spices like cumin or chili powder,"Cheese, tomato, lettuce, onion, and guacamole",Chopped onion and spices like cumin or chili powder,Anna-Tacos.txt
Which industry is prominent in Wales?,Fishing,Agriculture,Technology,Agriculture,Kevin-Wales.txt
What kind of bread does Marika prefer to eat?,Whole grain bread,Bagels,White bread,Whole grain bread,Marika-Bread.txt
What activity did the group engage in while they were at the beach?,Sunbathing and swimming,Having a picnic and playing games,Flying kites and building sandcastles,Sunbathing and swimming,James-IdealDay.txt
What instrument does James play in his Swedish Bubblegum Punk Band?,Guitar,Drums,Base guitar**,** Correct answer.,James-Music.txt
"What is the most widely accepted explanation for the origin of the universe, as discussed in the conversation?",The Big Bang theory,The Steady State theory,The Oscillating Universe theory,The Big Bang theory,Matt-Manchester.txt
How long has Dianna been practicing playing the guitar?,Two years,Two weeks,It's not mentioned,Two weeks,Diana-Hobby.txt
What is Yoko's main reason for taking the train every day?,Because she doesn't have a car.,Because she enjoys the crowded train.,Because her company pays for her train fare.,Because she doesn't have a car.,Yoko-Commute.txt
What is Trevor's preferred mode of transportation when going home?,He drives his car,He takes the train,He walks,He takes the train,Trevor-Evening.txt
What is the main difference between the inside and outside sections of Tsukigi Fish Market?,"Inside is open to the public, while outside is only accessible to professionals.","Inside offers better quality fish, while outside is for regular customers.","Inside is where the fish is preserved, while outside is where it is sold.","Inside offers better quality fish, while outside is for regular customers.",Daisuke-FishMarket.txt
What instrument does James play in his Swedish Bubblegum Punk Band?,Vocals,Bass guitar,Drums,Bass guitar,James-Music.txt
When does Trevor usually wake up in the morning?,7:30,6:30,7:00,6:30,Trevor-Evening.txt
How old is Clare's house?,12 years old,80 years old,100 years old,80 years old,Clare-House.txt
What foreign languages did Sophie study in high school?,French and German,French and Spanish,German and Spanish,French and German,Sophie-Ability.txt
What is Dianna's favorite animal?,Cats,Monkeys,Giraffes,Monkeys,Diana-Animals.txt
What foreign languages did Sophie study in high school?,French and German,Spanish and Italian,Japanese and Mandarin,French and German,Sophie-Ability.txt
What is Marika's favorite thing to put on bread?,Honey and mustard,Tomatoes and honey,Tomatoes,Tomatoes,Marika-Bread.txt
What is Daisuke's main job at the fish market?,Selling fish,Carrying ice,Preserving fish,Selling fish,Daisuke-FishMarket.txt
